--------- beginning of main
03-04 14:59:26.587  1678  2517 D WifiClientModeImpl[7680:wlan0]: updateLinkLayerStatsRssiSpeedFrequencyCapabilities rssi=-32 TxLinkspeed=173 freq=2437 RxLinkSpeed=173
03-04 14:59:26.588  1678  2517 V WifiScoreCard: invalid traffic count tx 10015675 last 10015675 rx 54560874 last 54560874
03-04 14:59:26.588  1678  2517 D WifiDataStall: tx tput in kbps: 90000
03-04 14:59:26.588  1678  2517 D WifiDataStall: rx tput in kbps: 90000
03-04 14:59:26.588  1678  2517 V WifiConfigManager: Updating scan detail cache freq=2437 BSSID=ba:1f:67:91:57:61 RSSI=-30 for "CPH2791 356E"WPA_PSK
03-04 14:59:26.589  1678  2517 D WifiDataStall:  use default cca Level
03-04 14:59:26.589  1678  2517 D WifiDataStall:  ccaLevel = 40
03-04 14:59:26.590  1678  2517 D WifiDataStall: L2 txTputKbps: 125043, rxTputKbps: 162000, L3 txTputKbps: 47, rxTputKbps: 42, TxTrafficHigh: false, RxTrafficHigh: false, Throughput Sufficient: true
03-04 14:59:26.590  1678  3076 D ConnectivityService: requestNetwork for uid/pid:10154/9716 activeRequest: null callbackRequest: 5205 [NetworkRequest [ REQUEST id=5206, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10154 RequestorUid: 10154 RequestorPkg: com.google.android.apps.nbu.files UnderlyingNetworks: Null] ]] callback flags: 0 order: 2147483647 isUidTracked: false declaredMethods: AVAIL|LOST|NC|BLK
03-04 14:59:26.599  1678  2517 D WifiThroughputPredictor:  utilization (LLS) -1 isBluetoothConnected: false final utilization: 95
03-04 14:59:26.600  1678  2517 D WifiThroughputPredictor:  BW: 0 RSSI: -32 Nss: 2 Mode: 4 symDur: 3600 snrDb 48 bitPerTone: 5000 rate: 144 throughput: 90
03-04 14:59:26.600  1678  2517 D WifiThroughputPredictor:  utilization (LLS) -1 isBluetoothConnected: false final utilization: 95
03-04 14:59:26.600  1678  2517 D WifiThroughputPredictor:  BW: 0 RSSI: -32 Nss: 2 Mode: 4 symDur: 3600 snrDb 48 bitPerTone: 5000 rate: 144 throughput: 90
